Day,National Holiday,San Antonio Events,Six Flags Events,Date
Monday,New Year's Day,,,01-01-2024
Tuesday,,,,02-01-2024
Wednesday,,,,03-01-2024
Thursday,,,,04-01-2024
Friday,,,,05-01-2024
Saturday,,,,06-01-2024
Sunday,,,,07-01-2024
Monday,,,,08-01-2024
Tuesday,,,,09-01-2024
Wednesday,,,,10-01-2024
Thursday,,,,11-01-2024
Friday,,,,12-01-2024
Saturday,,,Mardi Gras,13-01-2024
Sunday,,,Mardi Gras,14-01-2024
Monday,MLK Jr. Day,,Mardi Gras,15-01-2024
Tuesday,,,Mardi Gras,16-01-2024
Wednesday,,,Mardi Gras,17-01-2024
Thursday,,,Mardi Gras,18-01-2024
Friday,,,Mardi Gras,19-01-2024
Saturday,,,Mardi Gras,20-01-2024
Sunday,,,Mardi Gras,21-01-2024
Monday,,,Mardi Gras,22-01-2024
Tuesday,,,Mardi Gras,23-01-2024
Wednesday,,,Mardi Gras,24-01-2024
Thursday,,,Mardi Gras,25-01-2024
Friday,,,Mardi Gras,26-01-2024
Saturday,,,Mardi Gras,27-01-2024
Sunday,,,Mardi Gras,28-01-2024
Monday,,,Mardi Gras,29-01-2024
Tuesday,,,Mardi Gras,30-01-2024
Wednesday,,,Mardi Gras,31-01-2024
Thursday,,,Mardi Gras,01-02-2024
Friday,,,Mardi Gras,02-02-2024
Saturday,,,Mardi Gras,03-02-2024
Sunday,,,Mardi Gras,04-02-2024
Monday,,,Mardi Gras,05-02-2024
Tuesday,,,Mardi Gras,06-02-2024
Wednesday,,,Mardi Gras,07-02-2024
Thursday,,Rodeo,Mardi Gras,08-02-2024
Friday,,Rodeo,Mardi Gras,09-02-2024
Saturday,,Rodeo,Mardi Gras,10-02-2024
Sunday,,Rodeo,Mardi Gras,11-02-2024
Monday,,Rodeo,Mardi Gras,12-02-2024
Tuesday,,Rodeo,Mardi Gras,13-02-2024
Wednesday,Valentine's Day,Rodeo,Mardi Gras,14-02-2024
Thursday,,Rodeo,Mardi Gras,15-02-2024
Friday,,Rodeo,Mardi Gras,16-02-2024
Saturday,,Rodeo,Mardi Gras,17-02-2024
Sunday,,Rodeo,Mardi Gras,18-02-2024
Monday,President's Day,Rodeo,Mardi Gras,19-02-2024
Tuesday,,Rodeo,Mardi Gras,20-02-2024
Wednesday,,Rodeo,Mardi Gras,21-02-2024
Thursday,,Rodeo,Mardi Gras,22-02-2024
Friday,,Rodeo,Mardi Gras,23-02-2024
Saturday,,Rodeo,Mardi Gras,24-02-2024
Sunday,,Rodeo,Mardi Gras,25-02-2024
Monday,,,,26-02-2024
Tuesday,,,,27-02-2024
Wednesday,,,,28-02-2024
Thursday,,,,29-02-2024
Friday,,,,01-03-2024
Saturday,,,,02-03-2024
Sunday,,,,03-03-2024
Monday,,,,04-03-2024
Tuesday,,,,05-03-2024
Wednesday,,,,06-03-2024
Thursday,,,,07-03-2024
Friday,,,,08-03-2024
Saturday,,,Scream Break,09-03-2024
Sunday,,,Scream Break,10-03-2024
Monday,,,Scream Break,11-03-2024
Tuesday,,,Scream Break,12-03-2024
Wednesday,,,Scream Break,13-03-2024
Thursday,,,Scream Break,14-03-2024
Friday,,,Scream Break,15-03-2024
Saturday,,,Scream Break,16-03-2024
Sunday,,,,17-03-2024
Monday,,,,18-03-2024
Tuesday,,,,19-03-2024
Wednesday,,,,20-03-2024
Thursday,,,,21-03-2024
Friday,,,,22-03-2024
Saturday,,,,23-03-2024
Sunday,,,,24-03-2024
Monday,,,,25-03-2024
Tuesday,,,,26-03-2024
Wednesday,,,,27-03-2024
Thursday,,,,28-03-2024
