Date,Price,From
26-12-2023 06:00,107,AUS
27-12-2023 06:00,107,AUS
28-12-2023 06:00,107,AUS
29-12-2023 06:00,107,AUS
30-12-2023 06:00,107,AUS
31-12-2023 06:00,107,AUS
01-01-2024 06:00,107,AUS
02-01-2024 06:00,107,AUS
03-01-2024 06:00,106,AUS
04-01-2024 06:00,106,AUS
05-01-2024 06:00,106,AUS
06-01-2024 06:00,106,AUS
07-01-2024 06:00,106,AUS
08-01-2024 06:00,70,AUS
09-01-2024 06:00,70,AUS
10-01-2024 06:00,70,AUS
11-01-2024 06:00,70,AUS
12-01-2024 06:00,96,AUS
13-01-2024 06:00,96,AUS
14-01-2024 06:00,96,AUS
15-01-2024 06:00,96,AUS
16-01-2024 06:00,91,AUS
17-01-2024 06:00,91,AUS
18-01-2024 06:00,91,AUS
19-01-2024 06:00,91,AUS
20-01-2024 06:00,91,AUS
21-01-2024 06:00,70,AUS
22-01-2024 06:00,91,AUS
23-01-2024 06:00,70,AUS
24-01-2024 06:00,91,AUS
25-01-2024 06:00,91,AUS
26-01-2024 06:00,91,AUS
27-01-2024 06:00,96,AUS
28-01-2024 06:00,96,AUS
29-01-2024 06:00,96,AUS
30-01-2024 06:00,96,AUS
31-01-2024 06:00,96,AUS
01-02-2024 06:00,96,AUS
02-02-2024 06:00,96,AUS
03-02-2024 06:00,96,AUS
04-02-2024 06:00,96,AUS
05-02-2024 06:00,96,AUS
06-02-2024 06:00,96,AUS
07-02-2024 06:00,96,AUS
08-02-2024 06:00,96,AUS
09-02-2024 06:00,106,AUS
10-02-2024 06:00,106,AUS
11-02-2024 06:00,106,AUS
12-02-2024 06:00,106,AUS
13-02-2024 06:00,106,AUS
14-02-2024 06:00,106,AUS
15-02-2024 06:00,106,AUS
16-02-2024 06:00,116,AUS
17-02-2024 06:00,136,AUS
18-02-2024 06:00,141,AUS
19-02-2024 06:00,141,AUS
20-02-2024 06:00,116,AUS
21-02-2024 06:00,116,AUS
22-02-2024 06:00,141,AUS
23-02-2024 06:00,226,AUS
24-02-2024 06:00,195,AUS
