Date,Price,Route
26-12-2023 05:00,75,BOS
27-12-2023 05:00,75,BOS
28-12-2023 05:00,75,BOS
29-12-2023 05:00,75,BOS
30-12-2023 05:00,75,BOS
31-12-2023 05:00,60,BOS
01-01-2024 05:00,60,BOS
02-01-2024 05:00,60,BOS
03-01-2024 05:00,60,BOS
04-01-2024 05:00,60,BOS
05-01-2024 05:00,60,BOS
06-01-2024 05:00,59,BOS
07-01-2024 05:00,59,BOS
08-01-2024 05:00,59,BOS
09-01-2024 05:00,59,BOS
10-01-2024 05:00,73,BOS
11-01-2024 05:00,73,BOS
12-01-2024 05:00,73,BOS
13-01-2024 05:00,73,BOS
14-01-2024 05:00,73,BOS
15-01-2024 05:00,69,BOS
16-01-2024 05:00,69,BOS
17-01-2024 05:00,69,BOS
18-01-2024 05:00,69,BOS
19-01-2024 05:00,69,BOS
20-01-2024 05:00,75,BOS
21-01-2024 05:00,75,BOS
22-01-2024 05:00,69,BOS
23-01-2024 05:00,69,BOS
24-01-2024 05:00,69,BOS
25-01-2024 05:00,69,BOS
26-01-2024 05:00,75,BOS
27-01-2024 05:00,75,BOS
28-01-2024 05:00,75,BOS
29-01-2024 05:00,69,BOS
30-01-2024 05:00,69,BOS
31-01-2024 05:00,69,BOS
01-02-2024 05:00,73,BOS
02-02-2024 05:00,73,BOS
03-02-2024 05:00,73,BOS
04-02-2024 05:00,71,BOS
05-02-2024 05:00,71,BOS
06-02-2024 05:00,71,BOS
07-02-2024 05:00,75,BOS
08-02-2024 05:00,75,BOS
09-02-2024 05:00,86,BOS
10-02-2024 05:00,86,BOS
11-02-2024 05:00,82,BOS
12-02-2024 05:00,73,BOS
13-02-2024 05:00,73,BOS
14-02-2024 05:00,73,BOS
15-02-2024 05:00,89,BOS
16-02-2024 05:00,92,BOS
17-02-2024 05:00,82,BOS
18-02-2024 05:00,82,BOS
19-02-2024 05:00,117,BOS
20-02-2024 05:00,115,BOS
21-02-2024 05:00,115,BOS
22-02-2024 05:00,123,BOS
23-02-2024 05:00,127,BOS
24-02-2024 05:00,127,BOS
