Date,Price,Route
26-12-2023 06:00,59,DFW
27-12-2023 06:00,59,DFW
28-12-2023 06:00,68,DFW
29-12-2023 06:00,98,DFW
30-12-2023 06:00,98,DFW
31-12-2023 06:00,98,DFW
01-01-2024 06:00,98,DFW
02-01-2024 06:00,90,DFW
03-01-2024 06:00,90,DFW
04-01-2024 06:00,90,DFW
05-01-2024 06:00,90,DFW
06-01-2024 06:00,90,DFW
07-01-2024 06:00,90,DFW
08-01-2024 06:00,90,DFW
09-01-2024 06:00,78,DFW
10-01-2024 06:00,78,DFW
11-01-2024 06:00,78,DFW
12-01-2024 06:00,78,DFW
13-01-2024 06:00,90,DFW
14-01-2024 06:00,90,DFW
15-01-2024 06:00,90,DFW
16-01-2024 06:00,46,DFW
17-01-2024 06:00,46,DFW
18-01-2024 06:00,46,DFW
19-01-2024 06:00,46,DFW
20-01-2024 06:00,46,DFW
21-01-2024 06:00,46,DFW
22-01-2024 06:00,46,DFW
23-01-2024 06:00,46,DFW
24-01-2024 06:00,46,DFW
25-01-2024 06:00,46,DFW
26-01-2024 06:00,46,DFW
27-01-2024 06:00,96,DFW
28-01-2024 06:00,96,DFW
29-01-2024 06:00,90,DFW
30-01-2024 06:00,59,DFW
31-01-2024 06:00,59,DFW
01-02-2024 06:00,59,DFW
02-02-2024 06:00,59,DFW
03-02-2024 06:00,59,DFW
04-02-2024 06:00,59,DFW
05-02-2024 06:00,59,DFW
06-02-2024 06:00,59,DFW
07-02-2024 06:00,59,DFW
08-02-2024 06:00,59,DFW
09-02-2024 06:00,96,DFW
10-02-2024 06:00,96,DFW
11-02-2024 06:00,96,DFW
12-02-2024 06:00,96,DFW
13-02-2024 06:00,96,DFW
14-02-2024 06:00,96,DFW
15-02-2024 06:00,96,DFW
16-02-2024 06:00,119,DFW
17-02-2024 06:00,133,DFW
18-02-2024 06:00,133,DFW
19-02-2024 06:00,133,DFW
20-02-2024 06:00,87,DFW
21-02-2024 06:00,127,DFW
22-02-2024 06:00,133,DFW
23-02-2024 06:00,174,DFW
24-02-2024 06:00,215,DFW
