Date,Price,Route
26-12-2023 08:00,79,SEA
27-12-2023 08:00,79,SEA
28-12-2023 08:00,85,SEA
29-12-2023 08:00,79,SEA
30-12-2023 08:00,79,SEA
31-12-2023 08:00,79,SEA
01-01-2024 08:00,79,SEA
02-01-2024 08:00,79,SEA
03-01-2024 08:00,79,SEA
04-01-2024 08:00,79,SEA
05-01-2024 08:00,78,SEA
06-01-2024 08:00,78,SEA
07-01-2024 08:00,78,SEA
08-01-2024 08:00,78,SEA
09-01-2024 08:00,79,SEA
10-01-2024 08:00,79,SEA
11-01-2024 08:00,79,SEA
12-01-2024 08:00,79,SEA
13-01-2024 08:00,79,SEA
14-01-2024 08:00,79,SEA
15-01-2024 08:00,79,SEA
16-01-2024 08:00,79,SEA
17-01-2024 08:00,79,SEA
18-01-2024 08:00,79,SEA
19-01-2024 08:00,79,SEA
20-01-2024 08:00,61,SEA
21-01-2024 08:00,61,SEA
22-01-2024 08:00,61,SEA
23-01-2024 08:00,79,SEA
24-01-2024 08:00,79,SEA
25-01-2024 08:00,73,SEA
26-01-2024 08:00,73,SEA
27-01-2024 08:00,73,SEA
28-01-2024 08:00,73,SEA
29-01-2024 08:00,79,SEA
30-01-2024 08:00,86,SEA
31-01-2024 08:00,86,SEA
01-02-2024 08:00,86,SEA
02-02-2024 08:00,77,SEA
03-02-2024 08:00,77,SEA
04-02-2024 08:00,86,SEA
05-02-2024 08:00,86,SEA
06-02-2024 08:00,86,SEA
07-02-2024 08:00,82,SEA
08-02-2024 08:00,73,SEA
09-02-2024 08:00,73,SEA
10-02-2024 08:00,73,SEA
11-02-2024 08:00,73,SEA
12-02-2024 08:00,82,SEA
13-02-2024 08:00,73,SEA
14-02-2024 08:00,73,SEA
15-02-2024 08:00,73,SEA
16-02-2024 08:00,73,SEA
17-02-2024 08:00,73,SEA
18-02-2024 08:00,73,SEA
19-02-2024 08:00,73,SEA
20-02-2024 08:00,73,SEA
21-02-2024 08:00,73,SEA
22-02-2024 08:00,73,SEA
23-02-2024 08:00,73,SEA
24-02-2024 08:00,180,SEA
