Date,Price,From
26-12-2023 07:00,79,SLC
27-12-2023 07:00,79,SLC
28-12-2023 07:00,79,SLC
29-12-2023 07:00,79,SLC
30-12-2023 07:00,79,SLC
31-12-2023 07:00,79,SLC
01-01-2024 07:00,79,SLC
02-01-2024 07:00,79,SLC
03-01-2024 07:00,75,SLC
04-01-2024 07:00,75,SLC
05-01-2024 07:00,75,SLC
06-01-2024 07:00,75,SLC
07-01-2024 07:00,65,SLC
08-01-2024 07:00,65,SLC
09-01-2024 07:00,65,SLC
10-01-2024 07:00,65,SLC
11-01-2024 07:00,65,SLC
12-01-2024 07:00,65,SLC
13-01-2024 07:00,65,SLC
14-01-2024 07:00,65,SLC
15-01-2024 07:00,65,SLC
16-01-2024 07:00,65,SLC
17-01-2024 07:00,65,SLC
18-01-2024 07:00,77,SLC
19-01-2024 07:00,73,SLC
20-01-2024 07:00,73,SLC
21-01-2024 07:00,73,SLC
22-01-2024 07:00,67,SLC
23-01-2024 07:00,46,SLC
24-01-2024 07:00,46,SLC
25-01-2024 07:00,46,SLC
26-01-2024 07:00,67,SLC
27-01-2024 07:00,67,SLC
28-01-2024 07:00,67,SLC
29-01-2024 07:00,67,SLC
30-01-2024 07:00,67,SLC
31-01-2024 07:00,67,SLC
01-02-2024 07:00,67,SLC
02-02-2024 07:00,69,SLC
03-02-2024 07:00,80,SLC
04-02-2024 07:00,80,SLC
05-02-2024 07:00,80,SLC
06-02-2024 07:00,82,SLC
07-02-2024 07:00,82,SLC
08-02-2024 07:00,83,SLC
09-02-2024 07:00,82,SLC
10-02-2024 07:00,82,SLC
11-02-2024 07:00,82,SLC
12-02-2024 07:00,72,SLC
13-02-2024 07:00,72,SLC
14-02-2024 07:00,78,SLC
15-02-2024 07:00,88,SLC
16-02-2024 07:00,73,SLC
17-02-2024 07:00,73,SLC
18-02-2024 07:00,73,SLC
19-02-2024 07:00,73,SLC
20-02-2024 07:00,54,SLC
21-02-2024 07:00,54,SLC
22-02-2024 07:00,88,SLC
23-02-2024 07:00,99,SLC
24-02-2024 07:00,135,SLC
